game,turn,level,arm,adId,tier,reward,expiresIn,encrypted,chosen
0,0,0,NONE,"jdW6Ucrn","Sure thing",55,7,,false
0,0,0,NONE,"dZGLmAmm","Quite likely",29,7,,false
0,0,0,NONE,"E3bp4AM6","Suicide mission",46,7,,false
0,0,0,NONE,"ASNouXKF","Piece of cake",22,7,,false
0,0,0,NONE,"nyHtB8S9","Piece of cake",27,7,,false
0,0,0,NONE,"vBsTAY1m","Piece of cake",60,7,,true
0,0,0,NONE,"eJbIXJe9","Piece of cake",55,7,,false
0,0,0,NONE,"Z9zElMAV","Hmmm....",60,7,,false
0,0,0,NONE,"w5Mb5CHT","Piece of cake",31,7,,false
0,0,0,NONE,"2srbt2pu","Quite likely",36,7,,false
0,1,0,NONE,"jdW6Ucrn","Sure thing",55,6,,false
0,1,0,NONE,"dZGLmAmm","Quite likely",29,6,,false
0,1,0,NONE,"E3bp4AM6","Suicide mission",46,6,,false
0,1,0,NONE,"ASNouXKF","Piece of cake",22,6,,false
0,1,0,NONE,"nyHtB8S9","Piece of cake",27,6,,false
0,1,0,NONE,"eJbIXJe9","Piece of cake",55,6,,true
0,1,0,NONE,"Z9zElMAV","Hmmm....",60,6,,false
0,1,0,NONE,"w5Mb5CHT","Piece of cake",31,6,,false
0,1,0,NONE,"2srbt2pu","Quite likely",36,6,,false
0,1,0,NONE,"YchQPy3b","Walk in the park",14,7,,false
0,2,0,NONE,"jdW6Ucrn","Sure thing",55,5,,false
0,2,0,NONE,"dZGLmAmm","Quite likely",29,5,,false
0,2,0,NONE,"E3bp4AM6","Suicide mission",46,5,,false
0,2,0,NONE,"ASNouXKF","Piece of cake",22,5,,false
0,2,0,NONE,"nyHtB8S9","Piece of cake",27,5,,false
0,2,0,NONE,"Z9zElMAV","Hmmm....",60,5,,false
0,2,0,NONE,"w5Mb5CHT","Piece of cake",31,5,,true
0,2,0,NONE,"2srbt2pu","Quite likely",36,5,,false
0,2,0,NONE,"YchQPy3b","Walk in the park",14,6,,false
0,2,0,NONE,"ITYywv3y","Piece of cake",9,7,,false
0,3,0,NONE,"jdW6Ucrn","Sure thing",55,4,,false
0,3,0,NONE,"dZGLmAmm","Quite likely",29,4,,false
0,3,0,NONE,"E3bp4AM6","Suicide mission",46,4,,false
0,3,0,NONE,"ASNouXKF","Piece of cake",22,4,,false
0,3,0,NONE,"nyHtB8S9","Piece of cake",27,4,,false
0,3,0,NONE,"Z9zElMAV","Hmmm....",60,4,,false
0,3,0,NONE,"2srbt2pu","Quite likely",36,4,,false
0,3,0,NONE,"YchQPy3b","Walk in the park",14,5,,false
0,3,0,NONE,"ITYywv3y","Piece of cake",9,6,,true
0,3,0,NONE,"PXAfiPPV","Walk in the park",24,7,,false
0,4,0,NONE,"jdW6Ucrn","Sure thing",55,3,,false
0,4,0,NONE,"dZGLmAmm","Quite likely",29,3,,false
0,4,0,NONE,"E3bp4AM6","Suicide mission",46,3,,false
0,4,0,NONE,"ASNouXKF","Piece of cake",22,3,,false
0,4,0,NONE,"nyHtB8S9","Piece of cake",27,3,,false
0,4,0,NONE,"Z9zElMAV","Hmmm....",60,3,,false
0,4,0,NONE,"2srbt2pu","Quite likely",36,3,,false
0,4,0,NONE,"YchQPy3b","Walk in the park",14,4,,false
0,4,0,NONE,"PXAfiPPV","Walk in the park",24,6,,false
0,4,0,NONE,"GsBIs0is","Piece of cake",8,7,,true
0,5,0,NONE,"YchQPy3b","Walk in the park",14,3,,true
0,5,0,NONE,"PXAfiPPV","Walk in the park",24,5,,false
0,5,0,NONE,"ntucBvzs","Risky",28,7,,false
0,6,0,NONE,"PXAfiPPV","Walk in the park",24,4,,false
0,6,0,NONE,"ntucBvzs","Risky",28,6,,false
0,6,0,NONE,"2ZQo8awN","Piece of cake",18,7,,true
0,7,0,NONE,"PXAfiPPV","Walk in the park",24,3,,false
0,7,0,NONE,"ntucBvzs","Risky",28,5,,false
0,7,0,NONE,"TW9jlK4R","Walk in the park",34,7,,false
0,7,0,NONE,"VlJkv0qx","Quite likely",74,7,,false
0,7,0,NONE,"dNG2FI8t","Quite likely",15,7,,true
0,7,0,NONE,"cpLC0YOb","Quite likely",16,7,,false
0,7,0,NONE,"shcqUrUe","Walk in the park",42,7,,false
0,7,0,NONE,"iJes8hEg","Piece of cake",17,7,,false
0,7,0,NONE,"2b0xG3pf","Quite likely",18,7,,false
0,7,0,NONE,"sTg3ft1I","Gamble",37,7,,false
0,8,0,NONE,"ntucBvzs","Risky",28,4,,false
0,8,0,NONE,"TW9jlK4R","Walk in the park",34,6,,false
0,8,0,NONE,"VlJkv0qx","Quite likely",74,6,,false
0,8,0,NONE,"cpLC0YOb","Quite likely",16,6,,true
0,8,0,NONE,"shcqUrUe","Walk in the park",42,6,,false
0,8,0,NONE,"iJes8hEg","Piece of cake",17,6,,false
0,8,0,NONE,"2b0xG3pf","Quite likely",18,6,,false
0,8,0,NONE,"sTg3ft1I","Gamble",37,6,,false
0,8,0,NONE,"iUJri4mc","Gamble",17,7,,false
0,9,0,NONE,"ntucBvzs","Risky",28,3,,false
0,9,0,NONE,"TW9jlK4R","Walk in the park",34,5,,false
0,9,0,NONE,"VlJkv0qx","Quite likely",74,5,,true
0,9,0,NONE,"shcqUrUe","Walk in the park",42,5,,false
0,9,0,NONE,"iJes8hEg","Piece of cake",17,5,,false
0,9,0,NONE,"2b0xG3pf","Quite likely",18,5,,false
